Player,G,GS,MPG,A/TO,EFF,+/-,+/- PG,Tot Fouls PG,Player_URL
Vilhelm Jennlinger,3,0,0.8,0.0,0,-2,-0.7,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834481?
Adam Johansson,33,33,27.1,207.9,0,21,0.6,3.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693044?
Anton Johansson,28,7,10.7,150.0,0,-44,-1.6,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832273?
David Johansson,28,3,10.9,135.7,0,-146,-5.2,1.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1699979?
Ludvig Johansson,42,42,29.3,222.2,0,206,4.9,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693826?
Brandon Johns Jr,38,38,29.9,79.8,0,126,3.3,2.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306596?
Matthew Johnson II,10,0,22.1,437.5,0,89,8.9,2.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311113?
Tim Jonsson,22,0,8.2,125.0,0,17,0.8,0.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695750?
Mass Jonsson Samateh,5,0,4.7,0.0,0,-23,-4.6,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832129?
Erik Juhlin,14,0,3.7,0.0,0,-12,-0.9,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692613?
Henrik Jädersten,35,31,22.9,172.2,0,17,0.5,3.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693867?
Noel Karlsson Rask,5,1,1.3,0.0,0,2,0.4,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833265?
Alexander Karras,27,3,17.9,71.9,0,-163,-6.0,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693049?
Keonte Kennedy,15,13,31.5,104.5,0,-108,-7.2,2.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305691?
Herman Kihlman,5,0,6.4,0.0,0,-19,-3.8,0.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707621?
Omar Krayem,19,15,29.6,130.0,0,-157,-8.3,3.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305693?
Filip Larsson,7,0,1.6,0.0,0,5,0.7,0.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832284?
Niklas Larsson,34,32,29.7,274.4,0,10,0.3,1.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692991?
Melker Lindblom,28,9,16.0,82.4,0,-284,-10.1,1.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693052?
Ludvig Lindby,21,0,11.2,88.9,0,-40,-1.9,1.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692721?
Anton Lindqvist,29,7,13.4,76.9,0,-70,-2.4,2.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693053?
Noah Lindén,8,0,2.0,50.0,0,-3,-0.4,0.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692542?
Daniel Love,39,0,17.8,167.4,0,139,3.6,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310233?
