Player,G,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FT%,FTAPG,Player_URL
John Brändmark,39,36.6,21,46,45.7,20,66,30.3,71.4,0.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693825?
De´Monte Buckingham,40,42.3,122,261,46.7,49,143,34.3,77.0,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2312093?
Aurimas Buskevicius,17,52.6,8,16,50.0,12,22,54.5,75.0,0.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2108613?
Kyle Bynoe,4,33.3,0,1,0.0,1,2,50.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2034229?
David Cestic,8,62.5,5,7,71.4,0,1,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832179?
Tahlik Chavez,39,42.7,142,303,46.9,111,289,38.4,88.1,6.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301946?
Adrià Codinachs,38,47.3,88,148,59.5,16,72,22.2,58.5,1.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301947?
Keenon Cole,39,47.2,77,132,58.3,42,120,35.0,60.7,1.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310231?
Cameron Copeland,9,51.7,21,31,67.7,9,27,33.3,85.7,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2411419?
David Czerapowicz,24,40.7,35,60,58.3,53,156,34.0,75.0,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1909180?
Eddie Czerapowicz,31,30.1,17,43,39.5,30,113,26.5,75.0,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1694772?
Nicholas Davis,29,61.0,165,257,64.2,7,25,28.0,74.1,4.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305692?
Nathan Dawit,39,40.8,54,98,55.1,90,255,35.3,82.7,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692933?
Melker Delryd,35,37.4,41,111,36.9,51,135,37.8,75.6,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695749?
Elias Desport,6,58.3,6,10,60.0,1,2,50.0,25.0,0.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695762?
Mirko Djeric,35,43.7,76,142,53.5,86,229,37.6,85.1,2.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306222?
Joakim Dumon,9,0.0,0,3,0.0,0,9,0.0,70.0,1.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833311?
William Eriksson Hansson,13,32.1,7,24,29.2,19,57,33.3,71.4,1.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692499?
Alliou Fall,6,73.3,11,15,73.3,0,0,0.0,0.0,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834862?
Boje Finger,5,0.0,0,0,0.0,0,0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832493?
Anton Fontin,9,25.0,2,6,33.3,0,2,0.0,44.4,1.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834329?
Sebastian Forsling,38,57.7,41,67,61.2,0,4,0.0,45.8,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310230?
Lukas Friberg,35,44.2,78,160,48.8,51,132,38.6,72.7,3.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693879?
Anton Gaddefors,26,47.7,53,105,50.5,59,130,45.4,86.1,1.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692698?
Alonzo Gaffney,30,39.0,114,248,46.0,31,124,25.0,74.7,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306230?
Davonte Gaines,41,47.5,53,95,55.8,50,122,41.0,81.4,2.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306598?
Oliver Gehrke,33,39.3,80,147,54.4,36,148,24.3,62.4,3.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1754194?
Denzel George,33,45.9,84,167,50.3,33,88,37.5,54.9,2.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692950?
Philip Georgson,6,20.0,0,1,0.0,1,4,25.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1705172?
Rami Ghanem,9,40.7,11,24,45.8,0,3,0.0,87.5,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693035?
Devonte Green,38,39.6,85,181,47.0,73,218,33.5,73.4,4.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1976618?
Simon Gunnarsson,40,47.3,29,50,58.0,6,24,25.0,36.8,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693828?
William Guténius,34,43.8,102,203,50.2,57,160,35.6,85.7,4.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693829?
Moltas Gyllebring,27,30.2,13,30,43.3,3,23,13.0,20.0,0.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693032?
Jacob Hadi,32,36.0,13,34,38.2,14,41,34.1,54.2,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692494?
