Player,EFF,PPG,APG,RPG,ORPG,DRPG,BLKPG,STPG,TOPG,FOPG,Player_URL
Trevor Blondin,0,19.2,3.0,3.6,0.6,3.0,0.3,0.7,2.5,3.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2392726?
Vilhelm Bodingh,0,2.5,0.8,2.8,1.3,1.5,0.5,0.5,0.6,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1696115?
Nils Botold,0,8.1,1.1,2.8,1.0,1.8,0.3,0.8,0.5,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693051?
Cajus Brehmer,0,0.0,0.2,1.1,0.5,0.6,0.2,0.1,0.1,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693880?
Felix Broström,0,11.7,1.2,4.8,0.7,4.1,0.4,0.3,1.7,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695744?
John Brändmark,0,3.1,1.1,3.2,0.7,2.5,0.3,0.4,0.3,0.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693825?
De´Monte Buckingham,0,11.7,5.9,6.8,1.3,5.5,0.2,0.8,2.3,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2312093?
Aurimas Buskevicius,0,3.2,0.2,1.2,0.3,0.9,0.1,0.2,0.5,0.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2108613?
Kyle Bynoe,0,0.8,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2034229?
David Cestic,0,1.3,0.0,0.6,0.3,0.4,0.1,0.0,0.5,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832179?
Tahlik Chavez,0,21.9,4.0,3.8,0.6,3.1,0.2,1.6,2.5,6.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301946?
Adrià Codinachs,0,6.7,1.0,5.3,1.8,3.5,0.1,1.2,0.6,1.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301947?
Keenon Cole,0,8.1,0.5,3.9,0.8,3.1,0.5,0.5,1.0,1.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310231?
Cameron Copeland,0,8.3,0.3,1.9,0.2,1.7,0.1,0.6,0.7,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2411419?
David Czerapowicz,0,9.9,1.1,1.6,0.3,1.4,0.0,1.3,0.8,1.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1909180?
Eddie Czerapowicz,0,4.4,1.9,2.2,0.5,1.7,0.1,0.8,1.0,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1694772?
Nicholas Davis,0,15.7,2.1,7.5,2.3,5.2,0.9,0.9,2.5,4.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305692?
Nathan Dawit,0,10.8,1.4,2.6,0.4,2.2,0.3,1.0,0.7,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692933?
Melker Delryd,0,7.7,1.4,2.1,0.7,1.5,0.6,0.6,1.1,1.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695749?
Elias Desport,0,2.7,0.7,1.3,0.7,0.7,0.0,0.2,0.2,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695762?
Mirko Djeric,0,14.2,6.3,5.0,0.6,4.4,0.2,1.3,2.9,2.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306222?
Joakim Dumon,0,0.8,0.1,0.8,0.3,0.4,0.2,0.2,0.2,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833311?
William Eriksson Hansson,0,6.2,2.8,1.2,0.2,1.0,0.2,0.5,2.2,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692499?
Alliou Fall,0,3.7,0.2,0.8,0.3,0.5,0.5,0.0,0.5,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834862?
Boje Finger,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832493?
Anton Fontin,0,0.9,0.3,1.1,0.8,0.3,0.1,0.4,0.2,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834329?
Sebastian Forsling,0,2.5,0.6,4.0,1.5,2.6,0.4,0.2,0.5,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310230?
Lukas Friberg,0,11.5,5.9,4.2,0.9,3.4,0.3,1.4,2.4,5.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693879?
Anton Gaddefors,0,12.1,1.2,3.2,0.3,2.9,0.1,0.5,0.8,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692698?
Alonzo Gaffney,0,12.6,2.1,6.4,1.7,4.7,1.4,0.6,2.2,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306230?
Davonte Gaines,0,8.2,1.1,4.4,1.0,3.5,0.3,1.3,1.0,2.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306598?
Oliver Gehrke,0,10.0,0.6,4.3,1.2,3.1,0.3,0.4,0.9,2.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1754194?
Denzel George,0,9.3,2.6,4.7,1.7,3.0,0.1,1.3,2.2,2.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692950?
Philip Georgson,0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1705172?
Rami Ghanem,0,3.2,0.2,1.4,0.2,1.2,0.1,0.2,1.0,1.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693035?
Devonte Green,0,13.3,2.4,3.6,0.7,2.9,0.6,1.9,1.9,3.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1976618?
Simon Gunnarsson,0,2.1,0.8,4.1,1.5,2.7,0.1,0.7,0.7,1.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693828?
William Guténius,0,14.7,1.8,6.8,1.3,5.5,0.2,0.6,2.0,4.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693829?
Moltas Gyllebring,0,1.3,1.0,0.6,0.2,0.4,0.0,0.4,0.6,0.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693032?
Jacob Hadi,0,2.5,0.3,1.3,0.6,0.7,0.1,0.3,0.8,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692494?
Jesper Hallberg,0,4.5,0.6,2.8,0.7,2.1,0.3,0.3,0.5,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707384?
Pierre Hampton,0,12.7,1.3,4.2,1.4,2.8,0.2,0.7,1.6,3.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693027?
Daniel Hansson,0,8.6,1.2,1.6,0.3,1.3,0.0,0.9,0.6,0.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692928?
Gustav Hansson,0,18.9,6.3,3.4,0.7,2.7,0.1,1.6,2.2,5.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693047?
Travis Henson,0,13.2,0.7,3.5,0.5,3.0,1.2,0.8,1.0,2.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306597?
Mattias Herlitz,0,6.7,1.3,3.5,1.3,2.2,0.1,0.6,1.2,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693840?
Isaiah Hill,0,8.7,1.2,3.1,0.8,2.3,0.1,1.3,0.9,3.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306041?
Mio Hjalmarsson,0,0.8,0.1,0.3,0.0,0.3,0.0,0.3,0.4,0.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707379?
Shane Hunter,0,14.3,2.0,9.1,2.7,6.4,1.3,1.2,1.0,3.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310232?
Bryan Jefferson,0,15.1,2.1,8.6,1.7,6.9,0.7,1.0,3.1,3.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2312118?
Vilhelm Jennlinger,0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834481?
Adam Johansson,0,9.1,4.8,2.5,0.3,2.2,0.1,1.3,2.3,2.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693044?
Anton Johansson,0,3.0,0.3,1.4,0.4,1.0,0.3,0.2,0.2,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832273?
David Johansson,0,2.3,0.7,1.8,0.5,1.3,0.2,0.2,0.5,0.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1699979?
Ludvig Johansson,0,10.5,5.2,2.6,0.6,1.9,0.0,0.9,2.4,3.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693826?
Brandon Johns Jr,0,18.4,1.8,7.1,2.5,4.7,1.0,0.9,2.2,3.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306596?
Matthew Johnson II,0,14.1,3.5,2.3,0.1,2.2,0.0,0.5,0.8,3.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311113?
Tim Jonsson,0,2.4,0.5,0.6,0.1,0.5,0.1,0.3,0.4,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695750?
Mass Jonsson Samateh,0,1.0,0.2,0.8,0.8,0.0,0.0,0.0,0.0,0.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832129?
Erik Juhlin,0,1.0,0.0,0.3,0.1,0.2,0.1,0.1,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692613?
Henrik Jädersten,0,8.7,1.8,4.3,1.2,3.1,0.5,0.4,1.0,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693867?
Noel Karlsson Rask,0,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833265?
Alexander Karras,0,8.6,0.9,1.2,0.3,0.9,0.0,0.4,1.2,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693049?
Keonte Kennedy,0,10.7,1.5,5.3,1.3,4.0,0.1,1.5,1.5,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305691?
Herman Kihlman,0,1.6,0.2,0.8,0.4,0.4,0.2,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707621?
Omar Krayem,0,16.3,4.8,3.9,0.3,3.6,0.1,1.2,3.7,4.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305693?
Filip Larsson,0,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832284?
Niklas Larsson,0,13.0,3.2,4.2,1.2,3.0,0.1,0.6,1.2,2.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692991?
Melker Lindblom,0,3.8,1.0,0.9,0.1,0.8,0.0,0.4,1.2,1.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693052?
Ludvig Lindby,0,2.8,0.4,1.5,0.4,1.1,0.0,0.3,0.4,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692721?
Anton Lindqvist,0,4.0,0.3,1.1,0.5,0.7,0.3,0.3,0.5,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693053?
Noah Lindén,0,0.4,0.1,0.1,0.1,0.0,0.1,0.0,0.3,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692542?
Daniel Love,0,6.7,2.0,2.2,0.4,1.8,0.2,0.8,1.2,1.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310233?
William Lundin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832714?
Emanuel Lundmark,0,4.4,0.9,1.4,0.8,0.6,0.2,0.4,0.9,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693054?
Emil Lundstedt,0,1.3,1.0,0.8,0.3,0.6,0.0,0.4,0.6,0.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692617?
Ibrahim Magassa,0,7.0,1.0,2.5,0.5,1.9,0.3,0.7,0.6,0.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2338726?
Adam Massarsch,0,2.0,0.6,1.9,0.5,1.4,0.1,0.5,0.3,0.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695748?
Brion Jamar McLaurin,0,13.6,1.6,5.7,1.5,4.2,0.1,0.5,1.2,3.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301945?
Abdou Medjedoub,0,11.7,1.3,7.0,2.7,4.3,0.4,1.0,1.4,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692924?
Atle Mellquist,0,1.5,0.3,0.6,0.3,0.3,0.2,0.1,0.1,0.4,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692408?
Lukas Millner,0,8.6,1.2,5.5,2.3,3.2,0.6,0.3,0.9,2.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311119?
Lukas Milner,0,10.4,1.0,5.8,2.1,3.7,0.8,0.6,1.3,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2378685?
Dante Myrthil,0,0.5,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695753?
Tom Nilsson,0,2.8,0.5,1.1,0.4,0.7,0.0,0.4,0.7,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1706276?
Lukas Novakovic,0,2.6,0.2,0.6,0.1,0.4,0.0,0.3,0.6,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833094?
Oskar Palmquist,0,9.0,0.6,3.6,0.9,2.7,0.1,0.5,0.7,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2308171?
Joan Pardina,0,1.3,0.3,5.0,1.3,3.7,0.3,0.3,0.3,1.3,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306221?
Jonathan Peleg,0,14.3,3.0,3.4,0.6,2.8,0.0,1.3,2.4,3.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1793424?
Andreas Person,0,6.5,0.8,3.0,0.5,2.5,0.1,0.6,0.6,1.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693822?
Erik Persson,0,7.7,1.8,1.8,0.8,1.0,0.2,1.0,1.5,0.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2107199?
Tyler Peterson,0,18.2,6.2,5.1,2.5,2.6,0.4,2.1,3.3,5.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310249?
Adam Rask,0,3.8,0.8,2.6,0.7,1.9,0.3,0.3,0.9,0.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707693?
Dartaye Ruffin,0,8.9,1.3,4.9,1.4,3.6,0.9,0.7,0.9,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693007?
Kevin Schutte,0,6.3,0.8,5.2,2.1,3.2,0.3,0.4,1.1,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2310250?
Tim Schüberg,0,6.5,5.0,2.6,0.7,1.9,0.2,1.0,1.5,2.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692941?
Kevin Senghore Petersson,0,1.9,0.2,2.6,0.7,1.9,0.2,0.2,0.7,1.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692986?
Sergey Sepman,0,1.9,0.3,1.2,0.3,1.0,0.0,0.3,0.3,0.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1701770?
Grant Shephard,0,13.2,1.2,7.4,2.8,4.6,0.7,0.5,1.5,3.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306253?
Tobias Sjöberg,0,5.8,1.1,5.0,2.2,2.8,0.6,0.3,1.6,1.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692557?
Nicholas Spires,0,12.4,1.3,8.0,2.4,5.6,1.9,0.8,1.8,2.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1910643?
Derek St Hilaire,0,20.4,3.6,3.2,0.3,2.9,0.0,1.2,2.3,4.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2307383?
Lucas Strömbäck,0,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832492?
Arvid Strömsten,0,0.3,0.0,0.8,0.0,0.8,0.0,0.0,0.8,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1834295?
Marcus Stålberg,0,0.8,0.4,0.2,0.0,0.2,0.0,0.0,0.3,0.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693864?
Olle Stümer,0,5.5,0.8,3.4,1.1,2.3,0.2,0.4,1.0,1.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2309787?
Peter Stümer,0,14.3,3.1,5.2,0.7,4.6,0.0,1.3,1.8,3.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2305687?
Åke Swahn,0,5.3,0.4,2.6,1.4,1.2,0.3,0.3,0.6,1.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693036?
Joel Tewolde Berhane,0,1.7,0.4,0.9,0.3,0.6,0.0,0.1,0.4,0.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1832151?
Hugo Tidare,0,4.1,0.4,1.7,0.3,1.5,0.1,0.2,0.7,0.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1833053?
Jase Townsend,0,23.7,3.9,3.9,0.2,3.7,0.0,0.6,2.4,4.5,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311118?
Jan Tratnik,0,7.4,3.6,3.3,0.8,2.5,0.1,0.7,1.7,2.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692422?
Marcus Tyus,0,17.5,3.0,3.1,0.4,2.7,0.1,1.4,1.9,3.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1983084?
Ben Vander Plas,0,18.3,2.4,7.4,1.4,6.0,0.3,1.0,1.6,3.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306252?
Charlie Viklund,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1707701?
Akili Vining,0,15.4,3.6,2.5,0.2,2.2,0.1,1.3,2.1,3.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2306251?
Tony Vitali,0,11.5,1.6,5.9,1.6,4.2,0.7,0.4,1.0,1.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1695000?
Hugo Waldeck,0,1.0,0.1,0.4,0.3,0.1,0.1,0.1,0.3,0.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1796176?
Elias Weibert,0,6.2,1.5,3.0,1.0,2.0,0.1,1.3,1.1,1.7,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693034?
Yoel Weldegergis,0,1.1,0.1,0.9,0.6,0.4,0.1,0.2,0.2,0.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1719408?
Oscar Wickström Stümer,0,4.0,0.8,2.4,1.0,1.4,0.1,0.5,0.8,1.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692423?
Lukas Widmark,0,0.7,0.1,0.3,0.0,0.3,0.0,0.3,0.2,0.1,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692622?
Jonathan Williams,0,17.3,5.1,3.5,0.4,3.1,0.3,1.3,2.8,4.8,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2385186?
Dwight Wilson III,0,17.3,2.3,11.4,4.2,7.2,0.4,0.5,2.0,3.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2301944?
Larry Wise,0,11.6,2.1,3.6,1.0,2.6,0.1,1.1,1.1,2.6,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2309886?
Hameir Wright,0,14.5,1.0,6.2,1.2,5.1,1.5,1.0,2.1,4.2,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/2311120?
Alexander Yemane,0,5.9,0.7,2.3,0.5,1.8,0.3,0.4,1.0,1.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1692960?
Alan Zekovic,0,1.3,0.3,0.3,0.1,0.1,0.0,0.1,0.1,0.0,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693878?
Anes Zekovic,0,13.3,2.7,4.0,0.7,3.3,0.1,1.0,1.4,3.9,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/person/1693025?
